,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
,Jon Leuer,DET,28,75,34,41,25.9,101.8,104.1,-2.3,8.8,1.68,12.7,5.5,17.4,11.2,7.6,51.8,55.1,17.3,97.11,10
,Kentavious Caldwell-Pope,DET,24,76,33,43,33.3,103.7,107.7,-4,11.1,2.24,15,2.2,8.7,5.3,6.7,48.1,51.9,19.1,97.61,7.8
,Marcus Morris,DET,27,79,36,43,32.5,102.8,105.7,-2.8,9.5,1.84,12,3.1,12.7,7.7,6.5,47.7,50.8,20.2,97.01,8
,Reggie Bullock,DET,26,31,13,18,15.1,104.7,99.8,5,8.6,2.9,17.1,2.9,11.9,7.3,5.9,53.1,53.8,13.1,98.05,8.1
,Reggie Jackson,DET,27,52,23,29,27.4,101.7,110.5,-8.8,30.6,2.37,24.1,1.5,7.7,4.3,10.2,46.8,51,26.4,96.85,9.2
,Stanley Johnson,DET,21,77,35,42,17.8,104,103.7,0.2,10.6,1.48,18.6,2.9,12.9,7.7,12.6,41.5,43.6,14.8,96.99,4.8
,Tobias Harris,DET,24,82,37,45,31.3,104.3,105.5,-1.3,8.7,1.48,10.1,2.6,15.5,8.9,6.9,53.2,56.8,21.8,97.41,11.3
,Danilo Gallinari,DEN,28,63,31,32,33.9,112.1,109.4,2.7,9,1.65,11.9,2.1,14.4,8.4,7.2,53.1,62.2,20,100.53,11.4
,Darrell Arthur,DEN,29,41,20,21,15.6,108.3,108.8,-0.4,9.9,1.17,13.9,4.3,15.5,9.8,11.9,56.5,58.3,18,99.85,7.7
,Emmanuel Mudiay,DEN,21,55,25,30,25.6,106.8,112.3,-5.5,22.2,1.76,22.5,2.3,11.6,7,12.8,42.8,48.3,22.4,101.93,7.4
,Gary Harris,DEN,22,57,29,28,31.3,115,114,1,12.9,2.16,17.5,3.1,8.3,5.7,8.1,58.6,61.1,18.5,100.41,9.1
,Jamal Murray,DEN,20,82,40,42,21.5,109.1,108.1,1,14.2,1.5,16,2.6,10.4,6.6,10.6,48.3,51.8,21.6,101.15,7.8
,Jameer Nelson,DEN,35,75,34,41,27.3,110.8,109.7,1.1,25.8,3.01,33.6,1.5,8.9,5.2,11.2,53.1,54.4,15.7,100.06,7.5
,Kenneth Faried,DEN,27,61,29,32,21.2,109,112.1,-3.1,6.4,0.93,9,15.7,24.3,20,9.6,54.8,58.8,18.1,100.81,12.4
,Mason Plumlee,DEN,27,81,38,43,26.5,111.2,111.3,0,18.7,2.12,24.2,9,22.2,15.7,11.4,53.6,55.8,18.1,99.06,11.2
,Nikola Jokic,DEN,22,73,37,36,27.9,114.9,109.8,5.1,26.6,2.1,24.2,11.9,27.2,19.7,11.5,60.5,64,23.4,100.76,16.7
,Will Barton,DEN,26,60,31,29,28.4,107.7,110.6,-2.9,18.5,2.12,19.6,3.7,13.2,8.4,9.2,50.8,54.7,21.1,100.14,10.2
